BeybladePreset,EnergyRing,FusionWheel,SpinTrack,PerformanceTip,Type,Attack_EnergyRing,Defense_EnergyRing,Stamina_EnergyRing,Attack_FusionWheel,Defense_FusionWheel,Stamina_FusionWheel,Attack_PerformanceTip,Defense_PerformanceTip,Stamina_PerformanceTip,Attack_Total,Defense_Total,Stamina_Total
Storm_Pegasus_105_RF,Pegasus,Storm,105,RF,Attack,4,2,1,4,1,1,6,1,0,14,4,2
Flame_Sagittario_C145_S,Sagittario,Flame,C145,S,Stamina,1,2,4,1,2,4,1,2,4,3,6,12
Rock_Leone_145_WB,Leone,Rock,145,WB,Defense,1,4,2,1,4,2,1,5,1,3,13,5
Dark_Wolf_DF145_FS,Wolf,Dark,DF145,FS,Balance,3,2,2,3,3,2,3,1,3,9,6,7
Dark_Bull_H145_SD,Bull,Dark,H145,SD,Balance,3,3,1,3,3,2,1,3,3,7,9,6
Mad_Gasher_CH120_FS,Gasher,Mad,CH120,FS,Balance,3,3,1,2,3,2,3,1,3,8,7,6
Wind_Aquario_100_HF/S,Aquario,Wind,100,HF/S,Attack,4,1,2,4,2,1,4,0,3,12,3,6
Lightning_L-Drago_100_HF,L-Drago,Lightning,100,HF,Attack,5,2,0,5,0.5,0.5,4,0,3,14,2.5,3.5
Clay_Aries_ED145_B,Aries,Clay,ED145,B,Defense,1,4,2,1,4,2,0,4,3,2,12,7
Flame_Libra_T125_ES,Libra,Flame,T125,ES,Stamina,2,1,4,1,2,4,0,2,5,3,5,13
Earth_Eagle_145_WD,Eagle,Earth,145,WD,Balance,2,1,4,1,1,5,0,5,2,3,7,11
Storm_Capricorn_M145_Q,Capricorn,Storm,M145,Q,Attack,4,2,1,4,1,1,6,0,0,14,3,2
Rock_Orso_D125_B,Orso,Rock,D125,B,Defense,2,3,2,1,4,2,0,4,3,3,11,7
Dark_Gasher_CH120_SF,Gasher,Dark,CH120,SF,Balance,3,3,1,3,3,2,3,2,2,9,8,5
Cyber_Pegasus_100_HF,Pegasus,Cyber,100,HF,Attack,4,2,1,4,1,1,4,0,3,12,3,5
Thermal_Pisces_T125_ES,Pisces,Thermal,T125,ES,Stamina,2,1,4,2,1,4,0,2,5,4,4,13
Evil_Gemios_DF145_FS,Gemios,Evil,DF145,FS,Balance,3,3,1,3,3,1,3,1,3,9,7,5
Burn_Fireblaze_135_MS,Fireblaze,Burn,135,MS,Stamina,1,1,5,1,2,4,0,1,6,2,4,15
Earth_Virgo_GB145_BS,Virgo,Earth,GB145,BS,Stamina,1,2,4,1,1,5,0,3,4,2,6,13
Rock_Scorpio_T125_JB,Scorpio,Rock,T125,JB,Defense,2,4,1,1,4,2,2,5,2,5,13,5
Poison_Serpent_SW145_SD,Serpent,Poison,SW145,SD,Balance,3,3,1,3,3,1,1,3,3,7,9,5
Galaxy_Pegasus_W105_R2F,Pegasus II,Galaxy,W105,R2F,Attack,5,1,1,6,1,0,6,1,0,17,3,1
Ray_Striker_D125_CS,Striker,Ray,D125,CS,Attack,4,2,1,4,1,2,4,0,3,12,3,6
Thermal_Lacerta_WA130_HF,Lacerta,Thermal,WA130,HF,Balance,3,2,2,2,1,4,4,0,3,9,3,9
Aquario_105_F,N/A,Aquario,105,F,Attack,N/A,N/A,N/A,4,2,1,5,1,1,9,3,2
Rock_Zurafa_R145_WB,Zurafa,Rock,R145,WB,Defense,1,5,1,1,4,2,1,5,1,3,14,4
Virgo_ED145_ES,N/A,Virgo,ED145,ES,Stamina,N/A,N/A,N/A,2,2,4,0,2,5,2,4,9
Poison_Virgo_ED145_ES,Virgo,Poison,ED145,ES,Balance,1,2,4,3,3,1,0,2,5,4,7,10
Gravity_Destroyer_AD145_WD,Destroyer,Gravity,AD145,WD,Defense,2,5,0,2,5,0,0,5,2,4,15,2
Burn_Wolf_SW145_WD,Wolf,Burn,SW145,WD,Balance,3,2,2,1,2,4,0,5,2,4,9,8
Grand_Cetus_T125_RS,Cetus,Grand,T125,RS,Defense,2,4,1,2,4,1,1,5,1,5,13,3
Grand_Cetus_WD145_RS,Cetus,Grand,WD145,RS,Defense,2,4,1,2,4,1,1,5,1,5,13,3
Vulcan_Horuseus_145_D,Horuseus,Vulcan,145,D,Defense,2,4,1,2,4,1,1,4,2,5,12,4
Counter_Scorpio_145_D,Scorpio,Counter,145,D,Defense,2,4,1,1,4,1,1,4,2,4,12,4
Grand_Capricorn_145_D,Capricorn,Grand,145,D,Defense,4,2,1,2,4,1,1,4,2,7,10,4
Meteo_L-Drago_LW105_LF,L-Drago II,Meteo,LW105,LF,Attack,4,2,0,5,1,1,6,1,0,15,4,1
Cyclone_Herculeo_105_F,Herculeo,Cyclone,105,F,Attack,3,2,2,5,1,1,5,1,1,13,4,4
Ray_Gil_100_RSF,Gil,Ray,100,RSF,Attack,4,1,2,4,1,2,4,2,1,12,4,5
Flame_Byxis_230_WD,Byxis,Flame,230,WD,Balance,3,1,3,1,2,4,0,5,2,4,8,9
Evil_Befall_UW145_EWD,Befall,Evil,UW145,EWD,Balance,0,2,5,3,3,1,0,3,5,3,8,11
Hades_Kerbecs_BD145_DS,Kerbecs,Hades,BD145,DS,Stamina,2,2,3,3,0,4,0.5,2.5,4,5.5,4.5,11
Spiral_Capricorn_90_MF,Capricorn,Spiral,90,MF,Attack,4,2,1,5.5,1,0.5,5,0,2,14.5,3,3.5
Twisted_Tempo_145_WD,Tempo,Twisted,145,WD,Defense,0,6,0,0,6,0,0,5,2,0,17,2
Bakushin_Susanow_90_WF,Susanow,Bakushin,90,WF,Attack,4,2,0,4,3,0,6,1,0,14,6,0
Sol_Blaze_V145_AS,Blaze,Sol,V145,AS,Balance,3,4,0,4,3,0,0,3,4,7,10,4
Divine_Chimera_TR145_FB,Chimera,Divine,TR145,FB,Balance,5,1,1,3,3,1,3,3,1,11,7,3
Nightmare_Rex_SW145_SD,Rex,Nightmare,SW145,SD,Balance,3,3,0,4,4,0,1,3,3,8,10,3
Cosmic_Pegasus_F:D,Pegasus III,Cosmic,N/A,F:D,Attack,6,0,1,6,0,1,6,1,0,18,1,2
Mercury_Anubius_85_XF,Anubius,Mercury,85,XF,Attack,5,1,1,6,2,0,6,1,0,17,4,1
Fang_Leone_130_W2D,Leone II,Fang,130,W2D,Defense,2,5,0,2,5,0,0,4,3,4,14,3
Beat_Lynx_TH170_WD,Lynx,Beat,TH170,WD,Balance,2.5,2.5,2,2.5,2.5,2,0,5,2,5,10,6
L-Drago_Destructor_F:S,N/A,L-Drago Destructor,N/A,F:S,Attack,N/A,N/A,N/A,6,0,1,4,0,3,10,0,4
Hades_Crown_130_FB,Crown,Hades,130,FB,Attack,2,0,5,3,0,4,3,3,1,8,3,10
Scythe_Kronos_T125_EDS,Kronos,Scythe,T125,EDS,Stamina,1,0,6,2,0,5,0,2,5,3,2,16
Spiral_Lyre_ED145_MF,Lyre,Spiral,ED145,MF,Attack,2,5,0,5.5,1,0.5,5,0,2,12.5,6,2.5
Spiral_Fox_TR145_W2D,Fox,Spiral,TR145,W2D,Balance,4,1,2,5.5,1,0.5,0,4,3,9.5,6,5.5
Blitz_Striker_100_RSF,Striker II,Blitz,100,RSF,Attack,6,0,1,6,1,0,4,2,1,16,3,2
Variares_D:D,N/A,Variares,N/A,D:D,Defense,N/A,N/A,N/A,1,6,0,2,3,2,3,9,2
Forbidden_Ionis_ED145_FB,Ionis,Forbidden,ED145,FB,Balance,2,3,2,3,0,4,3,3,1,8,6,7
Omega_Dragonis_85_XF,Dragonis,Omega,85,XF,Attack,5,1,1,5,1,1,6,1,0,16,3,2
Jade_Jupiter_S130_RB,Jupiter,Jade,S130,RB,Defense,0,5,2,0,5,2,2,5,0,2,15,4
Phantom_Orion_B:D,Orion,Phantom,N/A,B:D,Stamina,1,0,6,2,0,5,0,1,6,3,1,17
Death_Quetzalcoatl_125_RDF,Quetzalcoatl,Death,125,RDF,Balance,5,0,2,4,3,0,2,3,2,11,6,4
Prototype_Nemesis,N/A,Prototype Nemesis,N/A,N/A,Defense,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Duo_Ice-Titan_230_WD,Ice-Titan,Duo,230,WD,Stamina,4,0,4,3,4,0,0,5,2,7,9,6
Bakushin_Beelzeb_T125_XF,Beelzeb,Bakushin,T125,XF,Attack,3,3,1,4,3,0,6,1,0,13,7,1
Kreis_Cygnus_145_WD,Cygnus,Kreis,145,WD,Defense,1,4,2,1,5,1,0,5,2,2,14,5
Firefuse_Darkhelm_AD145_SWD,Darkhelm,Firefuse,AD145,SWD,Balance,3,2,2,2,3,2,1,3,3,6,8,7
Diablo_Nemesis_X:D,Nemesis,Diablo,N/A,X:D,Balance,1,2,4,4,2,1,3,2,2,8,6,7
Flash_Sagittario_230_WD,Sagittario II,Flash,230,WD,Stamina,2,1,4,2,1,4,0,5,2,4,7,10
Pegasus_105_F,N/A,Pegasus,105,F,Attack,N/A,N/A,N/A,5,1,1,5,1,1,10,2,2
Bull_125_SF,N/A,Bull,125,SF,Balance,N/A,N/A,N/A,3,2,2,3,2,2,6,4,4
Sagittario_145_S,N/A,Sagittario,145,S,Stamina,N/A,N/A,N/A,1,2,4,1,2,4,2,4,8
Leone_145_D,N/A,Leone,145,D,Defense,N/A,N/A,N/A,1,4,2,1,4,2,2,8,4
Pegasus_145_D,N/A,Pegasus,145,D,Defense,N/A,N/A,N/A,5,1,1,1,4,2,6,5,3
Bull_145_S,N/A,Bull,145,S,Stamina,N/A,N/A,N/A,3,2,2,1,2,4,4,4,6
Sagittario_125_SF,N/A,Sagittario,125,SF,Balance,N/A,N/A,N/A,1,2,4,3,2,2,4,4,6
Leone_105_F,N/A,Leone,105,F,Attack,N/A,N/A,N/A,1,4,2,5,1,1,6,5,3
Quetzalcoatl_90_WF,N/A,Quetzalcoatl,90,WF,Attack,N/A,N/A,N/A,6,1,1,6,1,0,12,2,1
Wolf_D125_B,N/A,Wolf,D125,B,Balance,N/A,N/A,N/A,3,3,1,0,4,3,3,7,4
Wolf_105_F,N/A,Wolf,105,F,Attack,N/A,N/A,N/A,3,3,1,5,1,1,8,4,2
Aries_125_D,N/A,Aries,125,D,Defense,N/A,N/A,N/A,2,4,1,1,4,2,3,8,3
